timestamp,source,target,link,range,rx_power,fp_power,wifi_rssi
2026-07-15T01:05:49.520+00:00,A,D,A-D,3.07,-80.54,54.95,-35
2026-07-15T01:05:49.662+00:00,A,D,A-D,3.09,-81.26,54.95,-36
2026-07-15T01:05:49.803+00:00,A,D,A-D,3.03,-81.12,54.95,-35
2026-07-15T01:05:54.732+00:00,A,B,A-B,2.15,-80.3,-92.13,-47
2026-07-15T01:05:54.859+00:00,A,B,A-B,2.19,-80.45,-91.72,-48
2026-07-15T01:05:55.122+00:00,A,B,A-B,2.21,-80.0,-92.59,-49
2026-07-15T01:05:55.241+00:00,A,B,A-B,2.32,-80.11,-92.69,-53
2026-07-15T01:05:55.351+00:00,A,B,A-B,2.23,-79.28,-91.76,-55
2026-07-15T01:05:55.485+00:00,A,B,A-B,2.24,-79.49,-91.96,-49
2026-07-15T01:05:56.425+00:00,A,B,A-B,2.17,-79.97,-91.6,-38
2026-07-15T01:05:56.691+00:00,A,C,A-C,3.37,-81.32,54.95,-39
2026-07-15T01:05:56.846+00:00,A,B,A-B,2.17,-79.94,-91.6,-38
2026-07-15T01:05:57.129+00:00,A,B,A-B,2.26,-80.17,-91.6,-37
2026-07-15T01:05:57.426+00:00,A,B,A-B,2.21,-79.27,-91.6,-38
2026-07-15T01:05:57.725+00:00,A,B,A-B,2.18,-79.59,-91.6,-33
2026-07-15T01:05:57.911+00:00,A,C,A-C,0.64,-80.57,54.95,-33
2026-07-15T01:06:04.995+00:00,A,C,A-C,3.41,-82.1,54.95,-37
2026-07-15T01:06:05.250+00:00,A,C,A-C,3.4,-81.8,54.95,-39
2026-07-15T01:06:05.385+00:00,A,C,A-C,3.38,-82.4,54.95,-38
2026-07-15T01:06:05.524+00:00,A,C,A-C,3.4,-82.19,54.95,-42
2026-07-15T01:06:05.665+00:00,A,C,A-C,3.44,-81.81,54.95,-43
2026-07-15T01:06:05.805+00:00,A,C,A-C,3.42,-81.26,54.95,-43
2026-07-15T01:06:11.063+00:00,B,D,B-D,3.46,-84.89,54.91,-49
2026-07-15T01:06:11.410+00:00,B,D,B-D,3.46,-79.87,54.91,-51
2026-07-15T01:06:11.631+00:00,B,D,B-D,3.43,-78.82,54.91,-54
2026-07-15T01:06:21.635+00:00,A,D,A-D,3.13,-80.85,54.95,-53
2026-07-15T01:06:21.768+00:00,A,D,A-D,3.11,-80.06,54.95,-52
2026-07-15T01:06:28.660+00:00,A,B,A-B,2.14,-80.86,54.95,-44
2026-07-15T01:06:28.808+00:00,A,B,A-B,2.18,-81.47,54.95,-43
2026-07-15T01:06:28.943+00:00,A,B,A-B,2.15,-80.45,54.95,-43
2026-07-15T01:06:29.321+00:00,A,B,A-B,2.09,-80.67,54.95,-43
2026-07-15T01:06:29.460+00:00,A,B,A-B,2.12,-80.24,54.95,-43
2026-07-15T01:06:29.613+00:00,A,B,A-B,2.16,-80.21,54.95,-43
2026-07-15T01:06:29.759+00:00,A,B,A-B,2.15,-80.18,54.95,-44
2026-07-15T01:06:29.900+00:00,A,B,A-B,2.2,-80.5,54.95,-43
2026-07-15T01:06:44.444+00:00,A,C,A-C,3.4,-81.51,54.95,-44
2026-07-15T01:06:44.584+00:00,A,C,A-C,3.42,-81.2,54.95,-43
2026-07-15T01:06:44.758+00:00,A,C,A-C,3.44,-81.31,54.95,-45
2026-07-15T01:06:45.018+00:00,A,C,A-C,3.41,-80.87,54.95,-44
2026-07-15T01:06:45.254+00:00,A,C,A-C,3.39,-81.84,54.95,-43
2026-07-15T01:06:50.047+00:00,B,C,B-C,2.91,-79.73,-91.95,-52
2026-07-15T01:06:50.861+00:00,B,D,B-D,3.51,-78.76,54.91,-52
2026-07-15T01:06:51.284+00:00,B,D,B-D,3.48,-79.57,54.91,-58
2026-07-15T01:06:51.447+00:00,B,C,B-C,2.87,-80.7,-91.95,-61
2026-07-15T01:06:53.231+00:00,A,B,A-B,2.15,-80.44,54.95,-36
2026-07-15T01:06:53.364+00:00,A,B,A-B,2.18,-80.23,54.95,-36
2026-07-15T01:06:53.507+00:00,A,B,A-B,2.14,-80.12,54.95,-38
2026-07-15T01:06:53.660+00:00,A,B,A-B,2.15,-80.13,54.95,-37
2026-07-15T01:06:53.802+00:00,A,B,A-B,2.15,-80.38,54.95,-36
2026-07-15T01:07:00.444+00:00,A,C,A-C,3.42,-81.57,54.95,-36
2026-07-15T01:07:00.608+00:00,A,C,A-C,3.42,-81.57,54.95,-35
2026-07-15T01:07:00.741+00:00,A,C,A-C,3.41,-80.82,54.95,-35
2026-07-15T01:07:00.883+00:00,A,C,A-C,3.42,-80.75,54.95,-35
2026-07-15T01:07:01.026+00:00,A,C,A-C,3.46,-81.08,54.95,-34
2026-07-15T01:07:01.348+00:00,A,C,A-C,3.43,-80.67,54.95,-35
2026-07-15T01:07:01.488+00:00,A,C,A-C,3.41,-80.62,54.95,-36
2026-07-15T01:07:01.631+00:00,A,C,A-C,3.45,-81.05,54.95,-35
2026-07-15T01:07:01.790+00:00,A,C,A-C,3.43,-81.14,54.95,-34
2026-07-15T01:07:13.874+00:00,B,C,B-C,2.91,-80.49,-91.59,-52
2026-07-15T01:07:15.387+00:00,B,C,B-C,2.9,-79.8,-91.39,-49
2026-07-15T01:07:15.529+00:00,B,C,B-C,2.89,-80.07,-91.39,-45
